ID_Venta,Fecha,Pais,Ciudad,Cliente,Producto,Categoria,Cantidad,Precio_Unitario,Monto_Total,Medio_Envio,Estado_Envio
1,29/12/2024,Venezuela,Caracas,Ana Perez,Escritorio,Muebles,4,66,266,Aereo,Cancelado
2,5/9/2024,Bolivia,Cochabamba,Pedro Sanchez,Teclado,Accesorios,1,1176,1176,Aereo,Entregado
3,26/10/2024,Argentina,Buenos Aires,Pedro Garcia,Auriculares,Accesorios,4,1137,4550,Maritimo,En transito
4,4/3/2024,Argentina,Cordoba,Carlos Garcia,Silla ergonomica,Muebles,5,438,2194,Maritimo,Cancelado
5,13/8/2024,Colombia,Bogota,Pedro Sanchez,Impresora,Oficina,1,426,426,Maritimo,Pendiente
6,21/7/2024,Uruguay,Montevideo,Pedro Perez,Monitor,Electronica,1,543,543,Maritimo,Pendiente
7,19/9/2024,Brasil,Sao Paulo,Lucia Lopez,Celular,Electronica,1,126,126,Terrestre,Pendiente
8,17/12/2024,Chile,Valparaiso,Laura Rodriguez,Celular,Electronica,4,972,3890,Maritimo,Cancelado
9,2/8/2024,Paraguay,Ciudad del Este,Pedro Martinez,Tablet,Electronica,1,67,67,Maritimo,Pendiente
10,19/6/2024,Brasil,Sao Paulo,Maria Martinez,Auriculares,Accesorios,1,66,66,Aereo,Entregado
11,14/2/2025,Paraguay,Ciudad del Este,Juan Garcia,Laptop,Electronica,2,1167,2335,Terrestre,Pendiente
12,26/3/2025,Colombia,Bogota,Maria Martinez,Silla ergonomica,Muebles,4,279,1116,Maritimo,En transito
13,31/10/2024,Venezuela,Maracaibo,Laura Perez,Laptop,Electronica,4,253,1014,Aereo,En transito
14,14/6/2024,Brasil,Rio de Janeiro,Carlos Lopez,Impresora,Oficina,1,92,92,Aereo,En transito
15,7/7/2024,Brasil,Rio de Janeiro,Juan Martinez,Celular,Electronica,1,787,787,Aereo,Cancelado
16,27/10/2024,Brasil,Brasilia,Juan Sanchez,Celular,Electronica,1,982,982,Aereo,Cancelado
17,23/5/2024,Bolivia,Santa Cruz,Laura Rodriguez,Monitor,Electronica,2,277,555,Aereo,Entregado
18,23/6/2024,Peru,Arequipa,Laura Rodriguez,Tablet,Electronica,3,734,2203,Aereo,Cancelado
19,27/2/2024,Peru,Cusco,Luis Martinez,Laptop,Electronica,1,431,431,Aereo,Cancelado
20,31/12/2024,Argentina,Buenos Aires,Laura Garcia,Impresora,Oficina,1,107,107,Aereo,En transito
21,25/6/2024,Bolivia,Santa Cruz,Lucia Garcia,Auriculares,Accesorios,2,988,1976,Maritimo,Cancelado
22,17/12/2024,Ecuador,Quito,Luis Garcia,Tablet,Electronica,2,54,108,Terrestre,Cancelado
23,13/10/2024,Venezuela,Maracaibo,Carlos Martinez,Escritorio,Muebles,5,490,2451,Maritimo,Entregado
24,30/7/2024,Paraguay,Ciudad del Este,Juan Perez,Celular,Electronica,3,671,2014,Aereo,En transito
25,28/12/2024,Paraguay,Asuncion,Juan Martinez,Impresora,Oficina,4,910,3642,Terrestre,Entregado
26,18/11/2024,Chile,Santiago,Luis Lopez,Impresora,Oficina,4,268,1074,Aereo,Entregado
27,16/6/2024,Bolivia,Cochabamba,Juan Sanchez,Camara,Electronica,4,469,1876,Terrestre,En transito
28,24/3/2024,Peru,Lima,Pedro Martinez,Teclado,Accesorios,2,681,1362,Terrestre,En transito
29,25/10/2024,Bolivia,La Paz,Pedro Martinez,Teclado,Accesorios,3,739,2218,Aereo,Cancelado
30,26/3/2025,Venezuela,Caracas,Ana Perez,Silla ergonomica,Muebles,4,217,868,Aereo,En transito
31,23/10/2024,Chile,Santiago,Carlos Lopez,Monitor,Electronica,1,160,160,Aereo,Pendiente
32,19/4/2024,Argentina,Cordoba,Pedro Perez,Teclado,Accesorios,4,422,1688,Terrestre,Pendiente
33,2/10/2024,Brasil,Rio de Janeiro,Carlos Garcia,Camara,Electronica,3,772,2316,Terrestre,Cancelado
34,28/3/2024,Peru,Arequipa,Ana Garcia,Monitor,Electronica,4,149,596,Terrestre,Entregado
35,23/12/2024,Venezuela,Valencia,Laura Garcia,Escritorio,Muebles,1,656,656,Terrestre,Entregado
36,7/1/2025,Uruguay,Salto,Pedro Perez,Impresora,Oficina,3,676,2028,Maritimo,Pendiente
37,22/3/2024,Brasil,Sao Paulo,Carlos Martinez,Impresora,Oficina,2,256,513,Terrestre,Pendiente
38,30/1/2025,Uruguay,Paysandu,Luis Garcia,Celular,Electronica,3,424,1272,Terrestre,Cancelado
39,7/3/2024,Ecuador,Quito,Carlos Perez,Tablet,Electronica,3,59,177,Maritimo,En transito
40,7/11/2024,Argentina,Rosario,Pedro Garcia,Silla ergonomica,Muebles,3,143,429,Aereo,En transito
